,country,city,lat,lng,temp,humidity,cloudiness,wind speed,datetime
521,MX,Coahuayana Viejo,18.7333,-103.6833,25.0,50,40,2.94,1613086179
522,NG,Kumo,10.0447,11.2122,22.05,20,0,3.08,1613086180
523,CD,Kisangani,0.5167,25.2,24.72,51,98,0.97,1613086182
524,IN,Badarpur,24.9,92.6,15.01,59,4,1.42,1613086183
525,IR,Bam,29.106,58.357,15.64,26,98,3.88,1613086184
526,KG,Toktogul,41.8708,72.9402,4.01,71,58,0.73,1613086186
527,IT,Laas,46.6166,10.7002,1.0,85,0,4.12,1613086188
528,PG,Finschhafen,-6.6024,147.8681,28.61,74,100,2.32,1613086190
529,ES,Arona,28.0996,-16.681,18.89,63,20,3.09,1613085967
530,BW,Letlhakane,-21.4167,25.5833,21.22,58,69,3.32,1613086192
531,PH,Suba,10.8438,121.0102,27.1,79,100,2.42,1613086193
532,US,Hagerstown,39.6418,-77.72,-0.56,74,90,2.57,1613085898
533,CO,Puerto Carreño,6.189,-67.4859,31.65,41,84,5.08,1613086196
534,ID,Banjar,-8.19,114.9675,25.0,94,75,1.54,1613086197
535,ES,Teruel,40.6667,-0.6667,12.0,87,0,2.06,1613086199
536,GF,Sinnamary,5.3833,-52.95,25.63,82,98,6.19,1613086200
537,ML,Tessalit,20.1986,1.0114,20.21,18,0,3.83,1613086202
538,RU,Parabel',58.6978,81.4825,-28.31,86,100,4.52,1613086204
539,CN,Qian’an,44.9932,124.0581,-3.44,93,20,4.68,1613086206
540,CF,Carnot,4.9409,15.8665,20.99,24,5,1.13,1613086207
541,RU,Egvekinot,66.3167,-179.1667,-28.78,84,0,4.4,1613086209
542,RU,Oksovskiy,62.6062,39.8984,-22.47,89,93,0.9,1613086210
